Year	Value
1927	     214
1928	     188
1929	     332
1930	     182
1931	     215
1932	     186
1933	     216
1934	     154
1935	     208
1936	     184
1937	     249
1938	     221
1939	     329
1940	     250
1941	     183
1942	     256
1943	     296
1944	     235
1945	     374
1946	     244
1947	     359
1948	     294
1949	     267
1950	     186
1951	     188
1952	     231
1953	     342
1954	     252
1955	     258
1956	     255
1957	     194
1958	     250
1959	     271
1960	     231
1961	     314
1962	     284
1963	     256
1964	     254
1965	     241
1966	     290
1967	     264
1968	     240
1969	     255
1970	     266
1971	     302
1972	     282
1973	     276
1974	     280
1975	     224
1976	     229
1977	     235
1978	     241
1979	     202
1980	     224
1981	     318
1982	     329
1983	     229
1984	     266
1985	     281
1986	     252
1987	     274
1988	     342
1989	     282
1990	     226
1991	     324
1992	     402
1993	     333
1994	     329
1995	     337
1996	     316
1997	     380
1998	     323
1999	     316
2000	     314
2001	     339
2002	     378
2003	     307
2004	     363
2005	     353
2006	     322
2007	     448
2008	     303
2009	     394
2010	     384
2011	     399
2012	     351
2013	     377
2014	     432
2015	     336
2016	     340
2017	     369
2018	     396
