   Year	mong008	mong009	mong017	mong018	mong023	mong029	mong030	mong033	mong040	russ226	russ227	russ229	russ230	russ232	russ233	russ235	russ240	russ245	russ249	russ250	russ252	russ253	russ254	russ255	russ256	russ257	russ258	russ259	     GN	   HON4	    KUR	     PU	     BA	    CHG	    SHA	     TA
   1700	    NaN	  1.040	  0.744	  0.770	  0.893	  0.947	  0.751	    NaN	  0.668	  0.307	  0.445	  0.487	  0.880	  0.412	  0.843	    NaN	    NaN	  0.770	  0.909	  0.403	    NaN	  0.923	  0.493	  0.832	    NaN	  0.412	  0.929	  0.596	  0.619	    NaN	    NaN	  1.380	  0.392	  0.846	  0.695	  0.718
   1701	    NaN	  1.040	  0.388	  0.754	  0.802	  0.710	  0.718	    NaN	  0.801	  0.543	  0.580	  0.645	  1.109	  0.634	  1.087	    NaN	    NaN	  0.670	  0.821	  0.776	    NaN	  0.843	  0.663	  1.002	    NaN	  0.797	  0.800	  0.761	  0.864	    NaN	    NaN	  1.138	  0.414	  0.875	  0.696	  0.997
   1702	    NaN	  0.861	  0.388	  0.484	  1.127	  0.756	  0.820	    NaN	  0.723	  0.424	  0.536	  0.682	  0.746	  0.517	  0.466	    NaN	    NaN	  0.664	  0.770	  0.636	    NaN	  0.753	  0.549	  0.835	    NaN	  0.642	  0.669	  0.609	  0.676	    NaN	    NaN	  1.162	  0.688	  0.574	  0.603	  1.233
   1703	    NaN	  0.956	  0.769	  0.744	  1.228	  0.861	  1.066	    NaN	  0.859	  0.498	  0.691	  0.869	  1.025	  0.725	  0.905	    NaN	    NaN	  0.829	  0.941	  0.807	    NaN	  0.970	  0.768	  0.975	    NaN	  0.896	  0.772	  0.687	  0.664	    NaN	    NaN	  0.653	  0.798	  1.038	  0.920	  1.599
   1704	    NaN	  0.929	  0.737	  0.773	  0.837	  0.874	  1.262	    NaN	  0.802	  0.434	  0.771	  1.090	  0.928	  0.607	  0.868	    NaN	    NaN	  0.907	  0.745	  0.718	    NaN	  0.987	  0.756	  0.968	    NaN	  0.814	  0.828	  0.659	  0.823	    NaN	    NaN	  1.060	  0.954	  0.883	  1.016	  1.659
   1705	    NaN	  0.967	  0.862	  1.042	  0.740	  0.884	  1.093	    NaN	  0.713	  0.498	  0.798	  1.119	  0.941	  0.717	  0.705	    NaN	    NaN	  0.957	  0.813	  0.847	    NaN	  1.149	  0.912	  0.975	    NaN	  0.916	  0.841	  0.742	  0.856	    NaN	    NaN	  0.818	  0.800	  1.179	  1.172	  1.011
   1706	    NaN	  0.902	  0.788	  0.761	  0.910	  0.859	  0.754	    NaN	  0.879	  0.439	  0.741	  0.938	  0.721	  0.596	  0.621	    NaN	    NaN	  1.209	  0.822	  0.820	    NaN	  0.973	  0.688	  0.752	    NaN	  0.805	  0.849	  0.716	  0.626	    NaN	    NaN	  1.074	  0.980	  0.688	  0.746	  0.686
   1707	    NaN	  1.084	  0.884	  0.798	  1.347	  1.078	  1.043	    NaN	  0.924	  0.569	  0.848	  0.919	  0.872	  0.760	  0.909	    NaN	    NaN	  1.280	  1.011	  0.952	    NaN	  1.081	  0.947	  0.925	    NaN	  1.035	  0.917	  0.859	  0.891	    NaN	    NaN	  0.788	  0.956	  0.582	  0.969	  1.427
   1708	    NaN	  1.223	  1.021	  1.125	  1.142	  1.187	  1.183	    NaN	  0.953	  0.605	  0.982	  1.295	  0.990	  0.832	  0.919	    NaN	    NaN	  1.058	  1.195	  1.152	    NaN	  1.199	  1.027	  1.041	    NaN	  1.166	  0.993	  0.998	  0.762	    NaN	    NaN	  0.933	  0.871	  0.811	  0.886	  0.929
   1709	    NaN	  1.281	  1.152	  1.149	  1.577	  1.257	  0.980	    NaN	  0.901	  0.640	  0.997	  1.417	  1.333	  0.856	  1.231	    NaN	    NaN	  0.935	  1.223	  1.018	    NaN	  1.153	  1.106	  1.016	    NaN	  1.228	  0.929	  0.993	  0.868	    NaN	    NaN	  0.603	  1.046	  1.303	  1.011	  0.632
