 N1	 N2	     Id	    Long	     Lat	ElevM	Species	T	FirstYear	LastYear
  1	125	mong008	  94.880	  49.370	 2229	PISI	R	1771	1998
  2	126	mong009	  91.570	  49.920	 2500	LASI	R	1700	1998
  3	134	mong017	  91.000	  49.970	 2124	LASI	R	1700	2005
  4	135	mong018	  90.980	  49.480	 1925	LASI	R	1700	2005
  5	140	mong023	  94.580	  49.500	 1510	LASI	R	1700	1998
  6	146	mong029	  91.430	  49.870	 1939	LASI	R	1700	1998
  7	147	mong030	  94.880	  49.380	 2332	LASI	R	1700	1998
  8	150	mong033	  94.880	  49.370	 2229	LASI	R	1712	1997
  9	157	mong040	  99.080	  51.150	 2400	LASI	R	1700	2005
 10	167	russ226	  87.930	  50.800	 1943	LASI	R	1700	1998
 11	168	russ227	  88.100	  49.620	 2076	LASI	R	1700	2000
 12	170	russ229	  87.830	  50.300	 2235	LASI	R	1700	2000
 13	171	russ230	  87.830	  50.270	 1703	LASI	R	1700	2000
 14	173	russ232	  87.830	  50.170	 1644	LASI	R	1700	1999
 15	174	russ233	  87.920	  50.120	 1731	LASI	R	1700	2000
 16	176	russ235	  87.970	  50.680	 1449	LASI	R	1753	2000
 17	179	russ240	  98.970	  52.480	 2170	LASI	R	1714	2013
 18	181	russ245	  99.750	  52.820	 2240	LASI	R	1700	2013
 19	185	russ249	  95.310	  51.580	 2060	LASI	R	1700	2012
 20	186	russ250	  87.500	  49.510	 2250	LASI	R	1700	2011
 21	188	russ252	  91.280	  50.360	 2170	LASI	R	1722	2012
 22	189	russ253	  96.390	  50.200	 2254	LASI	R	1700	2012
 23	190	russ254	  89.590	  50.240	 2280	LASI	R	1700	2012
 24	191	russ255	  88.170	  50.070	 2100	LASI	R	1700	2012
 25	192	russ256	  94.030	  50.718	 2130	LASI	R	1764	2012
 26	193	russ257	  88.140	  49.390	 2250	LASI	R	1700	2011
 27	194	russ258	  98.140	  50.220	 2200	LASI	R	1700	2007
 28	195	russ259	  87.540	  50.040	 2250	LASI	R	1700	2012
 29	250	GN     	  90.328	  52.233	 1671	LASI	R	1700	2019
 30	254	HON4   	  91.493	  52.173	 1677	LASI	R	1783	2019
 31	255	KUR    	  95.130	  50.551	 1522	LASI	R	1786	2019
 32	244	PU     	  90.474	  54.227	  552	LASI	R	1700	2019
 33	271	BA     	  95.081	  51.083	 1003	PISI	R	1700	2018
 34	272	CHG    	  95.451	  51.100	  839	LASI	R	1700	2017
 35	273	SHA    	  95.212	  51.237	 1018	LASI	R	1700	2017
 36	274	TA     	  94.162	  51.851	 1275	LASI	R	1700	2019
